season,local_hour,n,mean,std,q0010,q0025,q0050,q0100,q0150,q0200,q0250,q0300,q0400,q0500,q0600,q0700,q0750,q0800,q0850,q0900,q0950,q0975,q0990
DJF,20,365,0.13156539687065227,1.9015978260653819,-3.5599974822998046,-3.033823776245117,-2.2884422302246095,-1.6077560424804689,-1.313360595703125,-1.0852821350097657,-0.8610877990722656,-0.6877845764160155,-0.2952674865722657,-0.013652801513671875,0.3073295593261719,0.6073646545410156,0.8344001770019531,1.0937095642089842,1.4126129150390623,1.8123321533203125,2.849777221679688,4.656217193603504,6.3048134613037226
DJF,21,370,0.1283473038544526,1.9568310990796614,-3.7366540573120113,-3.011297655105591,-2.683030700683594,-1.688472366333008,-1.349923801422119,-1.2190349578857422,-1.0754356384277344,-0.8365629196166992,-0.34212265014648435,-0.042350540161134376,0.2847145080566407,0.6188678741455081,0.9493408203125,1.1591682434082031,1.5584348678588844,1.990766334533692,3.4656536102294946,4.58496112823486,6.893807144165041
DJF,22,382,0.18190008912411035,2.0688614519712836,-3.977656097412109,-3.2653666496276856,-2.351672077178955,-1.802762794494629,-1.4416748046875,-1.1788192749023438,-0.9471673965454102,-0.6618698120117188,-0.27463531494140625,0.03570365905761719,0.2887695312499999,0.7740219116210936,0.9600286483764648,1.1393989562988283,1.581386947631833,2.190982055664063,3.320452117919922,4.653422737121574,7.340148620605468
DJF,23,374,0.19530226437165776,2.242426134508088,-4.195133056640625,-3.7483556270599365,-2.750327491760254,-2.0503974914550778,-1.6079012870788574,-1.3296783447265619,-1.049748420715332,-0.7569862365722657,-0.40298576354980464,-0.060199737548828125,0.41185607910156224,0.7131958007812496,1.0656394958496094,1.5372062683105476,1.8992303848266605,2.6228412628173823,3.8617166519165016,5.240281581878666,7.215384502410883
JJA,0,397,0.7133062279074258,3.5850437098509205,-8.484642639160157,-7.593072509765625,-5.559373474121093,-4.145445251464843,-2.8988174438476566,-2.017930603027344,-1.3632431030273438,-0.8139785766601563,0.07328948974609395,1.1569900512695312,1.803852844238281,2.4428115844726563,2.95111083984375,3.691853332519531,4.244662475585937,5.141693115234376,6.1069154663085925,7.006050491333006,8.444382702636723
JJA,1,403,0.5897993582827282,3.550670614513282,-9.464369354248047,-8.140993118286133,-5.710611724853516,-4.1037658691406245,-3.0986846923828137,-1.9061676025390624,-1.263824462890625,-0.7313201904296878,-0.02201232910156248,1.0211105346679688,1.7129180908203119,2.5445617675781236,3.016834259033203,3.548049926757813,3.8923675537109377,4.639967346191407,5.7273925781249995,6.75751953125,7.836946832275391
JJA,2,408,0.5750242884018841,3.5845510201256756,-8.991201095581054,-7.521767425537109,-5.6040191650390625,-4.112117767333984,-2.5798526763916017,-2.080694580078125,-1.6734504699707031,-1.041515350341797,-0.24789123535156185,0.826446533203125,1.6405548095703117,2.6841606140136713,3.0494346618652344,3.541363525390626,3.9630252838134763,4.551448822021486,6.173626327514639,7.313583564758298,8.531218948364259
JJA,3,403,0.7427150088326806,3.500445747706717,-8.901214294433593,-7.673155975341797,-5.287332916259765,-3.73309326171875,-2.846240234375,-1.9536270141601562,-1.2421379089355469,-0.7870452880859379,0.12916564941406264,1.092803955078125,1.7608459472656244,2.7122955322265625,3.071197509765625,3.490705871582031,4.179160308837891,4.857308959960938,6.056050872802733,6.938471221923828,8.156045379638673
JJA,4,401,0.5010813504264242,3.428153476495392,-8.448532104492188,-7.2496795654296875,-5.418159484863281,-3.6702346801757812,-2.8434524536132812,-2.1944961547851562,-1.7467727661132812,-0.8674850463867188,-0.12799835205078125,0.791961669921875,1.5584030151367188,2.297119140625,2.7889251708984375,3.2156143188476562,3.7878799438476562,4.83769134521485,5.8628692626953125,6.323722839355469,7.8236083984375
JJA,5,395,0.34605407985252673,3.3656361502953795,-8.482742004394531,-7.3220062255859375,-6.00317153930664,-4.015956115722656,-2.9743576049804688,-2.1696746826171864,-1.6450614929199219,-1.1457824707031252,-0.07137451171874927,0.7378463745117188,1.4792312622070305,2.271211242675779,2.6297454833984375,3.138714599609377,3.4627815246582023,4.1892822265625,5.1335152893066445,6.155157821655271,6.5850718688964855
JJA,6,349,0.021653790405623204,3.207158491701956,-8.184049377441406,-6.922885131835938,-5.7384033203125,-4.206297302246093,-3.174093627929688,-2.485456848144531,-2.07696533203125,-1.3621185302734375,-0.4140823364257812,0.25702667236328125,1.0906784057617185,1.9043411254882812,2.2777481079101562,2.624716186523438,3.169413757324219,3.8428283691406246,4.611439514160155,5.186970520019532,6.235522766113276
JJA,7,329,-0.41640498477274884,2.9194512625346185,-7.662404479980468,-6.618031311035156,-5.167019653320312,-4.246379089355469,-3.465411376953125,-2.7251907348632805,-2.1804733276367188,-1.7787155151367189,-1.0864929199218745,-0.441192626953125,0.38093109130859343,1.2994838867187524,1.6772994995117188,2.0387542724609378,2.589488220214844,3.161610412597656,4.000906372070308,4.963345336914063,5.787706298828122
JJA,8,261,-1.2457468867393289,2.7306466192956513,-8.549801635742188,-6.785121917724609,-6.013031005859375,-4.497795104980469,-3.9247512817382812,-3.3916702270507812,-2.97149658203125,-2.4069290161132812,-1.8345870971679688,-1.0926055908203125,-0.39603424072265625,0.32532501220703125,0.5474472045898438,0.8007125854492188,1.3343582153320312,1.7846221923828125,2.9232254028320312,4.229618072509766,4.732057189941388
JJA,9,227,-0.7222043155888628,2.647755380769034,-7.36300537109375,-6.546846008300781,-4.918206024169922,-3.6215789794921873,-3.2931236267089843,-2.853729248046875,-2.43597412109375,-2.129466247558594,-1.365191650390625,-0.7979812622070312,-0.1914428710937501,0.6503570556640624,0.9607315063476562,1.4386184692382813,2.0474319458007812,2.4808914184570314,3.6637313842773427,4.675415039062498,5.25297332763672
JJA,10,207,-0.4985577680062557,2.204367809948356,-5.250672149658203,-4.684416580200195,-4.041248321533203,-3.299269104003906,-2.6912818908691407,-2.0854400634765624,-1.8423881530761719,-1.5638137817382813,-1.1527770996093747,-0.5100326538085938,0.026863098144531236,0.4867111206054687,0.7538871765136719,1.104660034179688,1.825872039794922,2.3860336303710943,2.999517059326171,4.076601791381835,4.861362152099608
JJA,11,218,-0.16719245420683412,1.9432707698511715,-4.84797233581543,-4.184051132202148,-3.709527587890625,-2.4674362182617187,-2.040653991699219,-1.6641784667968746,-1.417531967163086,-1.1602172851562504,-0.6111816406249999,-0.12268447875976562,0.4759399414062498,0.8023269653320307,0.9231548309326172,1.2536010742187507,1.910816955566406,2.32451171875,2.8777549743652333,3.4597515106201158,3.7901675415039056
JJA,12,226,-0.08062708086672084,1.5672848199446423,-3.985187530517578,-3.427947998046875,-2.7995948791503906,-1.9148025512695312,-1.5230484008789062,-1.2771759033203125,-1.0048370361328125,-0.7641067504882812,-0.5150375366210938,-0.14529037475585938,0.36119842529296875,0.85504150390625,1.0206241607666016,1.2151947021484375,1.4141731262207031,1.8032760620117188,2.2283382415771484,2.697366714477539,3.9108810424804688
JJA,13,263,-0.00754510103523052,1.2347964411376597,-3.2271464538574217,-2.6682315826416017,-2.1029014587402344,-1.4383209228515625,-1.1036865234375002,-0.9233535766601563,-0.7202262878417969,-0.6023422241210937,-0.30805358886718737,-0.03839111328125,0.29494934082031243,0.5544204711914061,0.7186355590820312,1.0002578735351566,1.2292503356933593,1.6617248535156257,2.090497589111326,2.3492557525634763,2.5026123046874993
